加载 OCR 引擎...
总页数: 393, 已完成: 0
[244/393] 第244页 2.9s chars=700 ETA=6.3min
[245/393] 第245页 2.9s chars=812 ETA=6.2min
[246/393] 第246页 3.1s chars=635 ETA=6.2min
[247/393] 第247页 2.7s chars=603 ETA=6.2min
[248/393] 第248页 2.1s chars=303 ETA=6.1min
[249/393] 第249页 3.3s chars=1059 ETA=6.1min
[250/393] 第250页 3.3s chars=1062 ETA=6.0min
[251/393] 第251页 2.5s chars=472 ETA=6.0min
[252/393] 第252页 2.4s chars=514 ETA=6.0min
[253/393] 第253页 0.8s chars=3 ETA=5.9min
[254/393] 第254页 3.7s chars=936 ETA=5.9min
[255/393] 第255页 3.0s chars=733 ETA=5.8min
[256/393] 第256页 2.4s chars=207 ETA=5.8min
[257/393] 第257页 2.8s chars=605 ETA=5.8min
[258/393] 第258页 2.5s chars=518 ETA=5.7min
[259/393] 第259页 1.8s chars=153 ETA=5.7min
[260/393] 第260页 3.2s chars=912 ETA=5.6min
[261/393] 第261页 1.4s chars=84 ETA=5.6min
[262/393] 第262页 1.5s chars=82 ETA=5.5min
[263/393] 第263页 1.8s chars=106 ETA=5.5min
[264/393] 第264页 1.6s chars=100 ETA=5.4min
[265/393] 第265页 1.7s chars=104 ETA=5.4min
[266/393] 第266页 1.7s chars=94 ETA=5.3min
[267/393] 第267页 1.5s chars=86 ETA=5.3min
[268/393] 第268页 1.7s chars=146 ETA=5.2min
[269/393] 第269页 1.5s chars=78 ETA=5.2min
[270/393] 第270页 1.7s chars=106 ETA=5.1min
[271/393] 第271页 1.5s chars=71 ETA=5.1min
[272/393] 第272页 2.1s chars=142 ETA=5.1min
[273/393] 第273页 2.8s chars=509 ETA=5.0min
[274/393] 第274页 3.0s chars=806 ETA=5.0min
[275/393] 第275页 2.6s chars=604 ETA=4.9min
[276/393] 第276页 2.2s chars=344 ETA=4.9min
[277/393] 第277页 3.4s chars=895 ETA=4.9min
[278/393] 第278页 2.4s chars=502 ETA=4.8min
[279/393] 第279页 1.8s chars=167 ETA=4.8min
[280/393] 第280页 1.9s chars=187 ETA=4.7min
[281/393] 第281页 0.8s chars=3 ETA=4.7min
[282/393] 第282页 3.2s chars=680 ETA=4.6min
[283/393] 第283页 2.6s chars=533 ETA=4.6min
[284/393] 第284页 3.1s chars=865 ETA=4.6min
[285/393] 第285页 2.4s chars=429 ETA=4.5min
[286/393] 第286页 3.3s chars=726 ETA=4.5min
[287/393] 第287页 2.5s chars=387 ETA=4.5min
[288/393] 第288页 2.7s chars=581 ETA=4.4min
[289/393] 第289页 2.3s chars=390 ETA=4.4min
[290/393] 第290页 0.9s chars=33 ETA=4.3min
[291/393] 第291页 1.1s chars=3 ETA=4.3min
[292/393] 第292页 1.6s chars=84 ETA=4.2min
[293/393] 第293页 1.1s chars=3 ETA=4.2min
[294/393] 第294页 3.3s chars=807 ETA=4.1min
[295/393] 第295页 3.2s chars=849 ETA=4.1min
[296/393] 第296页 3.0s chars=854 ETA=4.1min
[297/393] 第297页 2.5s chars=499 ETA=4.0min
[298/393] 第298页 2.0s chars=299 ETA=4.0min
[299/393] 第299页 3.3s chars=852 ETA=3.9min
[300/393] 第300页 2.0s chars=391 ETA=3.9min
[301/393] 第301页 2.2s chars=472 ETA=3.9min
[302/393] 第302页 1.7s chars=236 ETA=3.8min
[303/393] 第303页 0.9s chars=3 ETA=3.8min
[304/393] 第304页 3.4s chars=843 ETA=3.7min
[305/393] 第305页 2.3s chars=463 ETA=3.7min
[306/393] 第306页 3.1s chars=700 ETA=3.6min
[307/393] 第307页 1.9s chars=293 ETA=3.6min
[308/393] 第308页 2.8s chars=780 ETA=3.6min
